"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"105",60,1090,3,137,1151,953.448176362573,197.551823637427
"106",1667,1131,3,286,1426,963.493232710535,462.506767289465
"107",2182,881,5,75,1186,919.79731865153,266.20268134847
"108",2330,881,5,66,836,919.367748682951,-83.3677486829513
"109",660,654,2,130,1112,929.79055919861,182.20944080139
"110",437,1090,3,214,811,957.123386093748,-146.123386093748
"111",2175,881,5,11,990,916.742598874969,73.2574011250308
"112",713,654,2,130,1160,929.79055919861,230.20944080139
"113",107,1090,3,194,1172,956.168786163572,215.831213836428
"114",574,654,2,225,886,934.324908866942,-48.3249088669423
"115",100,1090,3,219,1162,957.362036076292,204.637963923708
"116",8,692,3,102,752,923.30328078901,-171.30328078901
"117",1551,1131,3,47,1198,952.08576354494,245.91423645506
"118",2049,881,5,397,996,935.166377527353,60.8336224726474
"119",747,654,2,130,4,929.79055919861,-925.79055919861
"120",1130,1150,4,285,689,956.935336145819,-267.935336145819
"121",78,1090,3,139,1157,953.54363635559,203.45636364441
"122",984,1150,4,116,1203,948.868966735837,254.131033264163
"123",1629,1131,3,124,1305,955.760973276115,349.239026723885
"124",2007,881,5,86,949,920.322348613127,28.6776513868734
"125",1113,1150,4,149,642,950.444056620627,-308.444056620627
"126",1936,881,5,66,891,919.367748682951,-28.3677486829513
"127",1335,1150,4,245,821,955.026136285468,-134.026136285468
"128",656,654,2,238,823,934.945398821556,-111.945398821556
"129",1965,881,5,68,907,919.463208675969,-12.4632086759688
"130",1333,1150,4,61,670,946.243816927855,-276.243816927855
"131",62,1090,3,189,1153,955.930136181029,197.069863818971
"132",877,961,5,290,1292,935.782754472926,356.217245527074
"133",1863,1131,3,333,1224,965.736542546447,258.263457453553
"134",811,654,2,130,1127,929.79055919861,197.20944080139
"135",1707,1131,3,211,634,959.913482972377,-325.913482972377
"136",1685,1131,3,230,392,960.820352906044,-568.820352906044
"137",2274,881,5,66,699,919.367748682951,-220.367748682951
"138",476,1090,3,139,879,953.54363635559,-74.5436363555904
"139",322,1090,3,139,591,953.54363635559,-362.54363635559
